id,datovedt,distrikt,doklink
434585,19850624,Rønne,https://dokument.plandata.dk/20_1124623_APPROVED_1232959691984.pdf
425359,19850626,Hasle,https://dokument.plandata.dk/20_1145779_APPROVED_1310469808576.pdf
423430,19850826,Aakirkeby,https://dokument.plandata.dk/20_1122592_APPROVED_1232442074812.pdf
376502,19850829,Aakirkeby,https://dokument.plandata.dk/20_1122153_APPROVED_1232014570829.pdf
424034,19850930,Aakirkeby,https://dokument.plandata.dk/20_1122637_APPROVED_1232447925671.pdf
338384,19851209,Aakirkeby,https://dokument.plandata.dk/20_1122537_APPROVED_1232371359593.pdf
482834,19860127,Aakirkeby,https://dokument.plandata.dk/20_1123058_1594017593583.pdf
562412,19860526,Rønne,https://dokument.plandata.dk/20_1124711_APPROVED_1232977604750.pdf
514402,19860526,Rønne,https://dokument.plandata.dk/20_1124630_APPROVED_1232962599296.pdf
483053,19860820,Allinge-Gudhjem,https://dokument.plandata.dk/20_2836269_1594189064168.pdf
338379,19860910,Allinge-Gudhjem,https://dokument.plandata.dk/20_1144719_APPROVED_1236770263740.pdf
422708,19860910,Allinge-Gudhjem,https://dokument.plandata.dk/20_1114756_APPROVED_1227609712671.pdf
338378,19860930,Rønne,https://dokument.plandata.dk/20_1124714_APPROVED_1232978249312.pdf
434610,19861002,Aakirkeby,https://dokument.plandata.dk/20_1123062_APPROVED_1232535889859.pdf
433724,19861028,Nexø,https://dokument.plandata.dk/20_1122659_APPROVED_1232459526078.pdf
338375,19870114,Rønne,https://dokument.plandata.dk/20_1124831_APPROVED_1232981493679.pdf
421452,19870122,Nexø,https://dokument.plandata.dk/20_1123061_APPROVED_1232535220015.pdf
424113,19870331,Nexø,https://dokument.plandata.dk/20_1122665_APPROVED_1232461286656.pdf
375665,19870430,Aakirkeby,https://dokument.plandata.dk/20_1122620_APPROVED_1232446032093.pdf
562423,19870624,Hasle,https://dokument.plandata.dk/20_1145039_APPROVED_1236774567802.pdf
434492,19870711,Hasle,https://dokument.plandata.dk/20_1126690_APPROVED_1233753722406.pdf
433982,19870909,Allinge-Gudhjem,https://dokument.plandata.dk/20_1109527_APPROVED_1224572634994.pdf
595530,19871208,Nexø,https://dokument.plandata.dk/20_1123130_1727265939828.pdf
422433,19871208,Nexø,https://dokument.plandata.dk/20_1123125_APPROVED_1232636889906.pdf
338365,19880323,Hasle,https://dokument.plandata.dk/20_1129621_APPROVED_1234267240610.pdf
338366,19880323,Hasle,https://dokument.plandata.dk/20_1126689_APPROVED_1233752555640.pdf
338364,19880627,Rønne,https://dokument.plandata.dk/20_1124717_APPROVED_1232979769320.pdf
435031,19880701,Rønne,https://dokument.plandata.dk/20_1124837_APPROVED_1233044821953.pdf
376504,19880817,Allinge-Gudhjem,https://dokument.plandata.dk/20_1122169_APPROVED_1232021426169.pdf
338361,19880822,Rønne,https://dokument.plandata.dk/20_1124839_APPROVED_1233045194484.pdf
608638,19880929,Aakirkeby,https://dokument.plandata.dk/20_1123116_APPROVED_1232627096406.pdf
338359,19881013,Hasle,https://dokument.plandata.dk/20_1143963_APPROVED_1236250109616.pdf
432459,19881019,Allinge-Gudhjem,https://dokument.plandata.dk/20_1145527_APPROVED_1236860954198.pdf
433774,19881110,Nexø,https://dokument.plandata.dk/20_1124619_APPROVED_1232958117812.pdf
554839,19881128,Rønne,https://dokument.plandata.dk/20_1124847_APPROVED_1233046021359.pdf
421604,19881213,Nexø,https://dokument.plandata.dk/20_1123129_APPROVED_1232637470718.pdf
433595,19890214,Nexø,https://dokument.plandata.dk/20_1123146_APPROVED_1232699935710.pdf
591825,19890214,Nexø,https://dokument.plandata.dk/20_1122531_1719917527882.pdf
424148,19890315,Allinge-Gudhjem,https://dokument.plandata.dk/20_1109528_APPROVED_1224572991500.pdf
434591,19890522,Rønne,https://dokument.plandata.dk/20_1124854_APPROVED_1233050151906.pdf
338350,19890927,Allinge-Gudhjem,https://dokument.plandata.dk/20_1114736_APPROVED_1227605112625.pdf
435440,19891114,Nexø,https://dokument.plandata.dk/20_1123152_APPROVED_1232703883273.pdf
514339,19891115,Allinge-Gudhjem,https://dokument.plandata.dk/20_1145060_1563436276407.pdf
338347,19891127,Rønne,https://dokument.plandata.dk/20_1124896_APPROVED_1233061584468.pdf
433973,19900226,Rønne,https://dokument.plandata.dk/20_1124899_APPROVED_1233062125125.pdf
590753,19900508,Nexø,https://dokument.plandata.dk/20_1123111_APPROVED_1232624610828.pdf
433235,19900528,Rønne,https://dokument.plandata.dk/20_1124897_APPROVED_1233061806453.pdf
434247,19900607,Aakirkeby,https://dokument.plandata.dk/20_1123128_APPROVED_1232637228562.pdf
338343,19900730,Rønne,https://dokument.plandata.dk/20_1124898_APPROVED_1233061926515.pdf
338342,19900924,Rønne,https://dokument.plandata.dk/20_1124895_APPROVED_1233061321796.pdf
434341,19901009,Nexø,https://dokument.plandata.dk/20_1124618_APPROVED_1232957919703.pdf
431625,19910123,Hasle,https://dokument.plandata.dk/20_1126699_APPROVED_1233757524406.pdf
498579,19910225,Rønne,https://dokument.plandata.dk/20_1124902_APPROVED_1233062948390.pdf
434764,19910325,Rønne,https://dokument.plandata.dk/20_1124999_APPROVED_1233140597789.pdf
338339,19910325,Rønne,https://dokument.plandata.dk/20_1124994_APPROVED_1233139781882.pdf
338337,19910826,Rønne,https://dokument.plandata.dk/20_1124991_APPROVED_1233138840148.pdf
422557,19910924,Allinge-Gudhjem,https://dokument.plandata.dk/20_1078503_APPROVED_1207227201368.pdf
338335,19911015,Allinge-Gudhjem,https://dokument.plandata.dk/20_1114739_APPROVED_1227606240234.pdf
426630,19911028,Rønne,https://dokument.plandata.dk/20_1124889_APPROVED_1233051937265.pdf
434919,19911030,Hasle,https://dokument.plandata.dk/20_1126869_APPROVED_1233846478972.pdf
434985,19920325,Hasle,https://dokument.plandata.dk/20_1145056_APPROVED_1317648962156.pdf
338330,19920622,Rønne,https://dokument.plandata.dk/20_1124997_APPROVED_1233140389085.pdf
338329,19920626,Hasle,https://dokument.plandata.dk/20_1145059_APPROVED_1236778653260.pdf
514347,19920819,Allinge-Gudhjem,https://dokument.plandata.dk/20_1122160_1604046465771.pdf
562432,19920824,Rønne,https://dokument.plandata.dk/20_1124900_APPROVED_1233062327500.pdf
591817,19930629,Nexø,https://dokument.plandata.dk/20_1124622_1719916793801.pdf
426414,19940316,Allinge-Gudhjem,https://dokument.plandata.dk/20_1128649_APPROVED_1234172723612.pdf
433660,19940627,Rønne,https://dokument.plandata.dk/20_1125320_APPROVED_1233238457890.pdf
338324,19940913,Nexø,https://dokument.plandata.dk/20_1124624_APPROVED_1232959838062.pdf
421855,19950613,Nexø,https://dokument.plandata.dk/20_1124629_APPROVED_1232960745171.pdf
338320,19950823,Hasle,https://dokument.plandata.dk/20_1143977_APPROVED_1236259876913.pdf
591809,19950823,vang,https://dokument.plandata.dk/20_2840060_1719916051112.pdf
338319,19951010,Nexø,https://dokument.plandata.dk/20_1124712_APPROVED_1232977981015.pdf
433450,19951127,Rønne,https://dokument.plandata.dk/20_1125322_APPROVED_1257500347193.pdf
425052,19951220,Hasle,https://dokument.plandata.dk/20_1126741_APPROVED_1233823143078.pdf
338315,19960226,Rønne,https://dokument.plandata.dk/20_1126475_APPROVED_1233565545578.pdf
338316,19960226,Rønne,https://dokument.plandata.dk/20_1126474_APPROVED_1233564074265.pdf
415444,19960320,Allinge-Gudhjem,https://dokument.plandata.dk/20_1122276_1554281653058.pdf
338313,19960327,Hasle,https://dokument.plandata.dk/20_1143979_APPROVED_1236264851223.pdf
527181,19960629,Rønne,https://dokument.plandata.dk/20_1126479_APPROVED_1233566673937.pdf
338311,19960918,Allinge-Gudhjem,https://dokument.plandata.dk/20_1081901_APPROVED_1211190825862.pdf
425070,19970226,Hasle,https://dokument.plandata.dk/20_1129307_APPROVED_1234262926544.pdf
562426,19970319,Aakirkeby,https://dokument.plandata.dk/20_1123144_APPROVED_1366023518055.pdf
558338,19970416,Allinge,https://dokument.plandata.dk/20_1122277_APPROVED_1232094218329.pdf
338307,19970820,Allinge-Gudhjem,https://dokument.plandata.dk/20_1122165_APPROVED_1232020492693.pdf
338306,19971215,Rønne,https://dokument.plandata.dk/20_1126481_APPROVED_1233567308234.pdf
376730,19980106,Nexø,https://dokument.plandata.dk/20_1124713_APPROVED_1232977983859.pdf
338304,19980218,Allinge-Gudhjem,https://dokument.plandata.dk/20_1078547_APPROVED_1207301541355.pdf
591804,19980923,Hasle,https://dokument.plandata.dk/20_1122273_1719915673745.pdf
338301,19981123,Rønne,https://dokument.plandata.dk/20_1126484_APPROVED_1233568899828.pdf
527175,19981123,Rønne,https://dokument.plandata.dk/20_1126483_APPROVED_1233568657234.pdf
338300,19981125,Hasle,https://dokument.plandata.dk/20_1126870_APPROVED_1310469752607.pdf
338299,19990825,Rutsker,https://dokument.plandata.dk/20_1320084_1508315345309.pdf
434302,19990927,Rønne,https://dokument.plandata.dk/20_1126487_APPROVED_1233569944687.pdf
338297,19991109,Nexø,https://dokument.plandata.dk/20_1124715_APPROVED_1232978677062.pdf
338296,19991118,Aakirkeby,https://dokument.plandata.dk/20_1123150_APPROVED_1232702736445.pdf
422366,20000216,Allinge-Gudhjem,https://dokument.plandata.dk/20_1122167_APPROVED_1232020839575.pdf
434335,20000620,Aakirkeby,https://dokument.plandata.dk/20_1123148_APPROVED_1232701052570.pdf
527178,20010226,Rønne,https://dokument.plandata.dk/20_1145839_APPROVED_1236871371494.pdf
338292,20010326,Rønne,https://dokument.plandata.dk/20_1122278_APPROVED_1232094518061.pdf
435183,20010417,Nexø,https://dokument.plandata.dk/20_1124716_APPROVED_1232979343125.pdf
338290,20010423,Rønne,https://dokument.plandata.dk/20_1126492_APPROVED_1233578764265.pdf
442813,20010528,Rønne,https://dokument.plandata.dk/20_1126625_APPROVED_1233738890484.pdf
433069,20010614,Rønne,https://dokument.plandata.dk/20_1123151_APPROVED_1232703497304.pdf
338287,20010618,Allinge-Gudhjem,https://dokument.plandata.dk/20_1145068_APPROVED_1236779650016.pdf
338286,20010814,Nexø,https://dokument.plandata.dk/20_1124830_APPROVED_1232981275742.pdf
338285,20010814,Nexø,https://dokument.plandata.dk/20_1124836_APPROVED_1233044132468.pdf
433911,20010917,Rønne,https://dokument.plandata.dk/20_1126498_APPROVED_1233585309250.pdf
434712,20011220,Aakirkeby,https://dokument.plandata.dk/20_1122628_APPROVED_1232446988453.pdf
433730,20020128,Rønne,https://dokument.plandata.dk/20_1126633_APPROVED_1233740497718.pdf
595690,20020227,Hasle,https://dokument.plandata.dk/20_1122516_1727342956162.pdf
338281,20020620,Aakirkeby,https://dokument.plandata.dk/20_1123156_APPROVED_1232981206976.pdf
338280,20020620,Aakirkeby,https://dokument.plandata.dk/20_1123157_APPROVED_1232710397789.pdf
433164,20020624,Rønne,https://dokument.plandata.dk/20_1126635_APPROVED_1233740828328.pdf
338279,20020624,Rønne,https://dokument.plandata.dk/20_1126636_APPROVED_1233741011312.pdf
591830,20020710,Allinge-Gudhjem,https://dokument.plandata.dk/20_1143980_1719918163043.pdf
338276,20020710,Rutsker,https://dokument.plandata.dk/20_1320082_APPROVED_1259064793915.pdf
591813,20021008,Nexø,https://dokument.plandata.dk/20_1124844_1719916363881.pdf
426657,20021210,Nexø,https://dokument.plandata.dk/20_1124841_APPROVED_1233045470171.pdf
415432,20021210,Nexø,https://dokument.plandata.dk/20_1124850_1554278184778.pdf
433308,20021219,NA,https://dokument.plandata.dk/20_1123120_APPROVED_1232635886718.pdf
425061,20030626,Allinge-Gudhjem,https://dokument.plandata.dk/20_1128651_APPROVED_1234173347967.pdf
338270,20040422,Gudhjem,https://dokument.plandata.dk/20_1123147_APPROVED_1232700416945.pdf
562406,20040428,BRK,https://dokument.plandata.dk/20_1122660_APPROVED_1232460395015.pdf
562413,20040624,Rø,https://dokument.plandata.dk/20_1124848_APPROVED_1233046830328.pdf
338267,20041216,BRK,https://dokument.plandata.dk/20_1126499_APPROVED_1233586401734.pdf
338266,20050127,Rønne,https://dokument.plandata.dk/20_1125006_APPROVED_1233141164789.pdf
421747,20050428,NA,https://dokument.plandata.dk/20_1126755_APPROVED_1233825309031.pdf
425375,20050428,NA,https://dokument.plandata.dk/20_1126754_APPROVED_1233825243234.pdf
435141,20050630,NA,https://dokument.plandata.dk/20_3012075_1439889480477.pdf
433885,20050630,Rønne,https://dokument.plandata.dk/20_1126693_APPROVED_1233754409125.pdf
338261,20050825,NA,https://dokument.plandata.dk/20_1126685_APPROVED_1233751612218.pdf
